Emoji,infinitive_verb,infinitive_phonetic_us,infinitive_phonetic_uk,literal_translation,contextual_translation
🔓,To access,/tə ˈæk.ses/,/tə ˈæk.ses/,"acessar, entrar, obter, alcançar, usar",Chegar ou usar algo que estava restrito ou fora de alcance.
➕,To add,/tə æd/,/tə æd/,"adicionar, somar, incluir, acrescentar, juntar",Incluir algo a outra coisa para aumentar ou completar.
💰,To afford,/tə əˈfɔːrd/,/tə əˈfɔːd/,"poder pagar, ter condições, permitir-se, bancar, arcar","Ter recursos, tempo ou capacidade suficientes para conseguir algo."
🤝,To agree,/tə əˈɡriː/,/tə əˈɡriː/,"concordar, aceitar, combinar, aprovar, consentir",Compartilhar a mesma opinião ou aceitar uma proposta ou ideia.
✅,To allow,/tə əˈlaʊ/,/tə əˈlaʊ/,"permitir, autorizar, deixar, conceder, liberar",Dar liberdade para que algo aconteça ou alguém aja.
🧠,To analyze,/ˈtə æn.əl.aɪz/,/tə ˈæn.ə.laɪz/,"analisar, examinar, avaliar, estudar, investigar","Observar com atenção para entender causas, efeitos e significados."
👍,To approve,/tə əˈpruːv/,/tə əˈpruːv/,"aprovar, aceitar, validar, confirmar, autorizar","Dar aval formal ou pessoal a uma decisão, documento ou ação."
🚗,To arrive,/tə əˈraɪv/,/tə əˈraɪv/,"chegar, alcançar, atingir, vir, aparecer",Vim de outro lugar e alcançar o destino planejado.
❓,To ask,/tə æsk/,/tə ɑːsk/,"perguntar, solicitar, pedir, requisitar, questionar","Buscar informação, ajuda ou permissão por meio de palavras."
🗓️,To attend,/tə əˈtend/,/tə əˈtend/,"frequentar, comparecer, assistir, participar, ir","Estar presente em um evento, aula ou compromisso."
⚠️,To avoid,/tə əˈvɔɪd/,/tə əˈvɔɪd/,"evitar, prevenir, fugir de, contornar, esquivar-se",Tomar cuidado para que algo não aconteça ou para não se expor a algo.
🎯,To be,/tə biː/,/tə biː/,"ser, estar, existir, ficar, permanecer","Expressa identidade, estado ou condição — define o que algo é ou como está."
🔄,To become,/tə bɪˈkʌm/,/tə bɪˈkʌm/,"tornar-se, virar, passar a ser, transformar-se, converter-se",Indica mudança de estado ou identidade ao longo do tempo.
🙏,To believe,/tə bɪˈliːv/,/tə bɪˈliːv/,"acreditar, crer, confiar, supor, considerar","Aceitar como verdadeiro com base em fé, evidência ou convicção."
🏠,To belong,/tə bɪˈlɑːŋ/,/tə bɪˈlɒŋ/,"pertencer, ser de, integrar, encaixar-se, dizer respeito","Indicar posse, relação ou encaixe em um grupo ou lugar."
💳,To borrow,/tə ˈbɑːr.oʊ/,/tə ˈbɒr.əʊ/,"pegar emprestado, tomar emprestado","Receber algo por tempo limitado, com a ideia de devolver depois."
📦,To bring,/tə brɪŋ/,/tə brɪŋ/,"trazer, levar, conduzir, transportar, entregar",Mover algo até onde a pessoa que fala está ou precisa.
🏗️,To build,/tə bɪld/,/tə bɪld/,"construir, erguer, montar, desenvolver, estruturar","Criar algo sólido a partir de partes, materiais ou ideias."
🛒,To buy,/tə baɪ/,/tə baɪ/,"comprar, adquirir, obter, adquirir por dinheiro, adquirir por troca",Obter algo em troca de pagamento.
📞,To call,/tə kɑːl/,/tə kɔːl/,"ligar, chamar, telefonar, convocar, denominar",Estabelecer contato por voz ou dar um nome/convite a alguém.
🔁,To change,/tə tʃeɪndʒ/,/tə tʃeɪndʒ/,"mudar, trocar, alterar, modificar, transformar",Fazer algo ficar diferente do que era antes.
✔️,To check,/tə tʃek/,/tə tʃek/,"verificar, checar, examinar, revisar, inspecionar",Observar ou confirmar se algo está correto ou em ordem.
🎲,To choose,/tə tʃuːz/,/tə tʃuːz/,"escolher, optar, selecionar, decidir, preferir",Selecionar uma opção entre várias possibilidades.
🧹,To clean,/tə kliːn/,/tə kliːn/,"limpar, higienizar, lavar, tirar, desinfetar",Remover sujeira ou desordem para deixar algo em bom estado.
🚪,To close,/tə kloʊz/,/tə kləʊz/,"fechar, encerrar, encostar, concluir, trancar","Encerrar acesso, funcionamento ou um processo."
➡️,To come,/tə kʌm/,/tə kʌm/,"vir, chegar, aparecer, aproximar-se, advir",Mover-se na direção do interlocutor ou do ponto de destino.
💬,To communicate,/tə kəˈmjuː.nə.keɪt/,/tə kəˈmjuː.nɪ.keɪt/,"comunicar, transmitir, dialogar, compartilhar, informar",Trocar informações ou ideias de forma clara e intencional.
😤,To complain,/tə kəmˈpleɪn/,/tə kəmˈpleɪn/,"reclamar, queixar-se, protestar, lamentar, criticar",Expressar insatisfação ou desconforto com algo.
🏁,To complete,/tə kəmˈpliːt/,/tə kəmˈpliːt/,"completar, concluir, finalizar, terminar, cumprir","Levar uma tarefa até o fim, atingindo o objetivo proposto."
⚙️,To configure,/tə kənˈfɪɡ.jɚ/,/tə kənˈfɪɡ.jər/,"configurar, ajustar, definir, personalizar, montar",Estabelecer as definições ou parâmetros de funcionamento de algo.
✅,To confirm,/tə kənˈfɝːm/,/tə kənˈfɜːm/,"confirmar, validar, ratificar, corroborar, assegurar","Garantir que algo está correto, decidido ou verdadeiro."
🔌,To connect,/tə kəˈnekt/,/tə kəˈnek/,"conectar, ligar, unir, associar, relacionar","Estabelecer ligação física, lógica ou emocional entre coisas."
🤔,To consider,/tə kənˈsɪd.ɚ/,/tə kənˈsɪd.ə/,"considerar, ponderar, avaliar, refletir, levar em conta",Pensar com calma antes de decidir ou julgar algo.
🍃,To continue,/tə kənˈtɪn.juː/,/tə kənˈtɪn.juː/,"continuar, prosseguir, manter, seguir, persistir",Dar sequência a uma ação sem interromper.
🎨,To create,/tə kriˈeɪt/,/tə kriˈeɪt/,"criar, produzir, gerar, conceber, elaborar",Trazer algo novo à existência a partir de ideias ou recursos.
😢,To cry,/tə kraɪ/,/tə kraɪ/,"chorar, lamentar, berrar, gritar, soluçar",Derramar lágrimas ou expressar emoção intensa.
🗑️,To delete,/tə dɪˈliːt/,/tə dɪˈliːt/,"excluir, apagar, remover, deletar, eliminar","Retirar algo de um sistema, lista ou arquivo de forma permanente."
📦,To deliver,/tə dɪˈlɪv.ɚ/,/tə dɪˈlɪv.ə/,"entregar, levar, fornecer, distribuir, despachar",Levar algo ao destino certo ou cumprir o que foi prometido.
🧩,To develop,/tə dɪˈvel.əp/,/tə dɪˈvel.əp/,"desenvolver, evoluir, aprimorar, crescer, elaborar","Fazer algo progredir em qualidade, função ou complexidade."
💭,To discuss,/tə dɪˈskʌs/,/tə dɪˈskʌs/,"discutir, debater, conversar, dialogar, analisar",Conversar sobre um tema para trocar argumentos e ideias.
➗,To divide,/tə dɪˈvaɪd/,/tə dɪˈvaɪd/,"dividir, separar, repartir, fracionar, segmentar",Partir um todo em partes menores ou grupos.
✍️,To do,/tə də/,/tə duː/,"fazer, executar, realizar, cumprir, desempenhar","Executar uma ação, tarefa ou atividade prática."
🥛,To drink,/tə drɪŋk/,/tə drɪŋk/,"beber, ingerir, tomar (líquido), sorver, degustar",Levar líquidos ao corpo por necessidade ou prazer.
🚗,To drive,/tə draɪv/,/tə draɪv/,"dirigir, conduzir, pilotar, guiar, levar",Operar um veículo para ir de um lugar a outro.
🍽️,To eat,/tə iːt/,/tə iːt/,"comer, alimentar-se, consumir, ingerir, degustar",Colocar alimento no corpo para nutrição ou prazer.
✏️,To edit,/tə ˈed.ɪt/,/tə ˈed.ɪt/,"editar, revisar, ajustar, corrigir, montar","Alterar conteúdo para melhorar clareza, forma ou qualidade."
🌍,To exist,/tə ɪɡˈzɪst/,/tə ɪɡˈzɪst/,"existir, haver, ser, subsistir, perdurar",Estar presente no mundo real; ter presença ou realidade.
