Emoji,infinitive_verb,infinitive_phonetic_us,literal_translation,contextual_translation,infinitive_phonetic_uk
🔓,To access,/tə ˈæk.ses/,"acessar, entrar, obter, alcançar, usar",Chegar ou usar algo que estava restrito ou fora de alcance.,/tə ˈæk.ses/
➕,To add,/tə æd/,"adicionar, somar, incluir, acrescentar, juntar",Incluir algo a outra coisa para aumentar ou completar.,/tə æd/
💰,To afford,/tə əˈfɔːrd/,"poder pagar, ter condições, permitir-se, bancar, arcar","Ter recursos, tempo ou capacidade suficientes para conseguir algo.",/tə əˈfɔːd/
🤝,To agree,/tə əˈɡriː/,"concordar, aceitar, combinar, aprovar, consentir",Compartilhar a mesma opinião ou aceitar uma proposta ou ideia.,/tə əˈɡriː/
✅,To allow,/tə əˈlaʊ/,"permitir, autorizar, deixar, conceder, liberar",Dar liberdade para que algo aconteça ou alguém aja.,/tə əˈlaʊ/
🧠,To analyze,/ˈtə æn.əl.aɪz/,"analisar, examinar, avaliar, estudar, investigar","Observar com atenção para entender causas, efeitos e significados.",/tə ˈæn.ə.laɪz/
👍,To approve,/tə əˈpruːv/,"aprovar, aceitar, validar, confirmar, autorizar","Dar aval formal ou pessoal a uma decisão, documento ou ação.",/tə əˈpruːv/
🚗,To arrive,/tə əˈraɪv/,"chegar, alcançar, atingir, vir, aparecer",Vim de outro lugar e alcançar o destino planejado.,/tə əˈraɪv/
❓,To ask,/tə æsk/,"perguntar, solicitar, pedir, requisitar, questionar","Buscar informação, ajuda ou permissão por meio de palavras.",/tə ɑːsk/
🗓️,To attend,/tə əˈtend/,"frequentar, comparecer, assistir, participar, ir","Estar presente em um evento, aula ou compromisso.",/tə əˈtend/
⚠️,To avoid,/tə əˈvɔɪd/,"evitar, prevenir, fugir de, contornar, esquivar-se",Tomar cuidado para que algo não aconteça ou para não se expor a algo.,/tə əˈvɔɪd/
🎯,To be,/tə biː/,"ser, estar, existir, ficar, permanecer","Expressa identidade, estado ou condição — define o que algo é ou como está.",/tə bɪˈkʌm/
🔄,To become,/tə bɪˈkʌm/,"tornar-se, virar, passar a ser, transformar-se, converter-se",Indica mudança de estado ou identidade ao longo do tempo.,/tə bɪˈɡɪn/
🙏,To believe,/tə bɪˈliːv/,"acreditar, crer, confiar, supor, considerar","Aceitar como verdadeiro com base em fé, evidência ou convicção.",/tə bɪˈliːv/
🏠,To belong,/tə bɪˈlɑːŋ/,"pertencer, ser de, integrar, encaixar-se, dizer respeito","Indicar posse, relação ou encaixe em um grupo ou lugar.",/tə bɪˈlɒŋ/
💳,To borrow,/tə ˈbɑːr.oʊ/,"pegar emprestado, tomar emprestado","Receber algo por tempo limitado, com a ideia de devolver depois.",/tə ˈbɒr.əʊ/
📦,To bring,/tə brɪŋ/,"trazer, levar, conduzir, transportar, entregar",Mover algo até onde a pessoa que fala está ou precisa.,/tə breɪk/
🏗️,To build,/tə bɪld/,"construir, erguer, montar, desenvolver, estruturar","Criar algo sólido a partir de partes, materiais ou ideias.",/tə brɪŋ/
🛒,To buy,/tə baɪ/,"comprar, adquirir, obter, adquirir por dinheiro, adquirir por troca",Obter algo em troca de pagamento.,/tə bɪld/
📞,To call,/tə kɑːl/,"ligar, chamar, telefonar, convocar, denominar",Estabelecer contato por voz ou dar um nome/convite a alguém.,/tə baɪ/
